price,area,AC,parking,prefarea
4500000,3000,Yes,No,No
8000000,6000,Yes,Yes,Yes
5000000,4000,No,Yes,No
7000000,5500,Yes,Yes,Yes
3000000,2500,No,No,No
9000000,7000,Yes,Yes,Yes
6500000,4800,Yes,No,Yes
5200000,4200,No,Yes,No
10000000,8000,Yes,Yes,Yes
2800000,2000,No,No,No
7500000,5800,Yes,Yes,Yes
6200000,4500,No,Yes,Yes
4100000,3200,No,No,No
8800000,7200,Yes,Yes,Yes
5600000,4300,Yes,No,No
4700000,3500,No,Yes,No
9900000,8500,Yes,Yes,Yes
6100000,4600,Yes,Yes,Yes
5300000,4100,No,No,No
7200000,5900,Yes,Yes,Yes
